text,label,Notes
"Olise in no way or forms is better than Yamal, there is a reason why Yamal is compared to Messi/Neymar which Olise is not...",analysis,"Uses statistics (goals, dribbles per game), player comparisons, and reasoning about dribbling ability and carrying a team. Strong opinion, but heavily justified."
Messi is still the best,hot_take,Simple opinion with no supporting evidence or explanation.
"Haaland has 60+ G/As this year, Rice has been simple outstanding for Arsenal and probably the best in the world in transitions and delivery.",analysis,"References performance metrics and specific football qualities (transitions, delivery) to support the claim."
Mbappe: I know this is unpopular but I truly think he is the best player right now... Harry Kane... Lamine Yamal... Dembele... Olise... Kvaratskhelia... Pedri... Luis Diaz... Vitinha... Vinicius Jr...,analysis,"Although it contains rankings and opinions, most claims are supported by football reasoning such as goals, dribbling, pressing, playmaking, consistency, and off-ball movement."
"I played five aside against a guy who was at Man Utd youth until u15's then got badly injured and had to give up on pro-football. 10 years later, when I played against him he was fat, slow, smoked and drank a lot, and we still couldn't get near him.",reaction,Personal anecdote expressing amazement. Not making a broader football argument.
90% of football is played with the mind!,hot_take,Broad assertion with no supporting evidence or explanation.
Played against Freddie Adu in my youth. He was a year younger then my team and played “up” against us. We were really good. National champs (USA). He was good. Really good. But not mind blowing good. Best player on the field. But we still won the game.,reaction,Personal experience and observation rather than football analysis.
Both Messi and Ronaldo above Bruno. Just give me a break.,reaction,Dismissive response to another opinion. No reasoning provided.
"bruh i know my flair but estevao in front of foden and cucurella is horseshit, he has potential but rn he’s not better than those both in any way lol.",reaction,"Emotional disagreement without evidence. Borderline hot take, but reads more like a reaction to a ranking."
"Trionda is Jabulani 2.0 (too smooth), its why a lot of weird goals have been going in this tournament e.g., Messi v Zidane, Kim v Mexico, etc.",analysis,Provides a causal explanation linking the ball design to unusual goals.
3 more goals each from mbappe messi and haaland today so we can troll Ronaldo more,reaction,Joke/humor. No substantive football argument.
So hyped for Messi ball. All I could think of all day. 1 more assist to have the most assists in World Cup history. 1 more goal to have the most goals in World Cup history. All of this success when he was labelled a flop by the media for Argentina,reaction,Primarily excitement and admiration. Statistics are used to celebrate rather than analyze.
I am more and more convinced Bielsa would've been considered a mastermind if he'd gone the 2017 Scaloni route and become an analyst instead. He knows a lot about football and his conceptions of tactics are good by themselves but he's repeatedly had issues in every other facet of managing a team,analysis,Evaluates tactical knowledge versus managerial shortcomings and explains the reasoning behind the conclusion.
